HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,window_start_sec,start_unix,end_unix,label
,,0.007034816114523066,0.032368617836120266,0.008758894073189636,0.04816232802383297,0.21733446111723953,0.14606470250030087,0.6720733644790335,-3.430565910870645,0.0,1594140175.0,1594140235.0,
,,0.04267890113546062,0.10533718711779361,0.010000897270883229,0.15801698552413748,0.4051646175793058,0.27009059180502665,0.6666193939113153,-2.2505887681712746,30.0,1594140205.0,1594140265.0,
,,0.011683585215662144,0.0014210139670132735,5.400509292523185e-05,0.013158604275600649,8.222005896408623,0.887904596183232,0.10799123807136518,-6.55638460091247,60.0,1594140235.0,1594140295.0,
,,0.011636824750452433,0.09762878106040385,0.004126372168240303,0.11339197797909659,0.11919461273671562,0.10262476197917318,0.8609849021101067,-2.3265829411200114,90.0,1594140265.0,1594140325.0,
,,0.059070460180958975,0.07558810661534414,0.06334865978636245,0.19800722658266556,0.7814782354790173,0.29832476925430695,0.3817441813609113,-2.582456328075579,120.0,1594140295.0,1594140355.0,
,,0.046152933479323095,0.052881602385647805,0.04180272097417325,0.14083725683914416,0.8727597386846415,0.3277040075555874,0.37548020724406744,-2.9396997815973616,150.0,1594140325.0,1594140385.0,
,,0.030370114246053362,0.05673699330694218,0.008301483083444333,0.09540859063643987,0.5352788802493234,0.3183163491197611,0.5946738436074575,-2.869328841718528,180.0,1594140355.0,1594140415.0,
,,0.03463505285299344,0.08145059482670979,0.005816630344674387,0.12190227802437761,0.4252277460549091,0.28412145707455305,0.668163024897874,-2.5077586409931647,210.0,1594140385.0,1594140445.0,
,,0.029177657652935826,0.10439425702191622,0.006828653438307589,0.14040056811315965,0.2794948542697167,0.20781723354152884,0.743545830511005,-2.259580614415288,240.0,1594140415.0,1594140475.0,
,,0.009911203559880273,0.10209545399971352,0.015970683165477517,0.1279773407250713,0.0970778146489077,0.07744498755582148,0.7977619586504863,-2.2818470797811035,270.0,1594140445.0,1594140505.0,
